dataset,endpoint,unit,unmapped_samples_excluded,n_flight,n_ground,flight_mean,ground_mean,difference_flight_minus_ground,hedges_g,welch_p,mann_whitney_p,welch_fdr,mann_whitney_fdr
OSD-557,"4-HNE-positive cell density, retina",cells/mm²,CC19,6,5,25.710508138333335,18.59951911,7.110989028333336,0.9710254920711695,0.1015066506967124,0.17748917748917747,0.11842442581283114,0.20707070707070704
OSD-557,"4-HNE mean intensity, photoreceptor layer",arbitrary intensity,,5,5,40.253533331999996,32.6738,7.579733331999996,1.3332908730971047,0.0479303525576817,0.05555555555555555,0.06710249358075439,0.0909090909090909
OSD-557,PNA-positive cell density,cells/mm²,,5,6,923.21066814,1249.73847,-326.52780185999995,-1.908396998813051,0.006904875013169672,0.017316017316017316,0.024167062546093854,0.06060606060606061
OSD-568,"TUNEL density, total",reported density,VG15;VG16;VG17;VG18;VG20,6,6,151.88196776666663,78.81940200999999,73.06256575666664,3.497240247831264,0.0001157247455234939,0.0021645021645021645,0.0008100732186644573,0.015151515151515152
OSD-568,"TUNEL density, endothelial cells",reported density,VG15;VG16;VG17;VG18;VG20,6,6,50.207822531666665,31.720310505,18.487512026666664,1.2757686900959018,0.042310944920563566,0.06493506493506493,0.06710249358075439,0.0909090909090909
OSD-568,PECAM mean signal,reported intensity,,6,5,49.363433333333326,35.2802,14.083233333333325,1.5002000416470316,0.021457161259197107,0.030303030303030304,0.05006670960479325,0.0707070707070707
OSD-568,ZO-1 mean signal,reported intensity,,6,6,30.438299999999998,38.0383,-7.600000000000001,-0.885530568613719,0.12759808747813897,0.22813286774813712,0.12759808747813897,0.22813286774813712
