analysis,go_id,term,foreground_overlap,foreground_total,universe_term_genes,universe_total,odds_ratio,p_value,overlap_symbols,fdr
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0010648,negative regulation of cell communication,30,194,42,312,1.6158536585365855,0.12262631578302512,Abca7;Calr;Cartpt;Ckmt1;Dkk3;Dlg1;Dusp4;Dyrk2;Gnaz;Grina;Hspa5;Hspa8;Mfn2;Ogt;Pde8b;Per1;Pias2;Prnp;Rad54b;Rapgef1;Rgs20;Rnf113a2;Sag;Sesn2;Strip2;Stxbp1;Tpbgl;Wnk2;Wwc2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0023057,negative regulation of signaling,30,194,42,312,1.6158536585365855,0.12262631578302512,Abca7;Calr;Cartpt;Ckmt1;Dkk3;Dlg1;Dusp4;Dyrk2;Gnaz;Grina;Hspa5;Hspa8;Mfn2;Ogt;Pde8b;Per1;Pias2;Prnp;Rad54b;Rapgef1;Rgs20;Rnf113a2;Sag;Sesn2;Strip2;Stxbp1;Tpbgl;Wnk2;Wwc2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0044087,regulation of cellular component biogenesis,26,194,36,312,1.6714285714285715,0.12659679839232693,Actg1;Adgrb2;Aqp1;Dclk1;Dlg1;Dnajb2;Eif4g1;Fhod3;Gak;Hsp90aa1;Hspa5;Hspa8;Map1b;Mfn2;Ncam1;Nptxr;Ogt;Pak2;Psd;Rab11b;Rapgef1;Rhoc;Rnf4;Slitrk2;Stxbp1;Vldlr,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0006412,translation,7,194,8,312,4.379679144385027,0.12781563444413896,Eef2;Eif3f;Eif4g1;Eif4g2;Gars1;Hspa5;Ogt,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0006417,regulation of translation,7,194,8,312,4.379679144385027,0.12781563444413896,Calr;Eef2;Eif4g1;Eif4g2;Ogt;Sesn2;Srp9,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0008283,cell population proliferation,7,194,8,312,4.379679144385027,0.12781563444413896,Dchs1;Dlg1;Eef2;Nr4a3;Prox1;Stc1;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0009743,response to carbohydrate,7,194,8,312,4.379679144385027,0.12781563444413896,Cartpt;Gckr;Map1b;Nptx1;Ogt;Rab11b;Sesn2,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0014706,striated muscle tissue development,7,194,8,312,4.379679144385027,0.12781563444413896,Acadm;Calr;Eef2;Fhod3;Hspa8;Prox1;Sik1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0022407,regulation of cell-cell adhesion,7,194,8,312,4.379679144385027,0.12781563444413896,Dlg1;Glmn;Hsp90aa1;Nr4a3;Prnp;Slc7a1;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0022604,regulation of cell morphogenesis,7,194,8,312,4.379679144385027,0.12781563444413896,Arhgap15;Dlg1;Grip1;Mfn2;Pdzd8;Pias2;Strip2,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0032956,regulation of actin cytoskeleton organization,7,194,8,312,4.379679144385027,0.12781563444413896,Actg1;Dlg1;Fhod3;Mfn2;Pak2;Prox1;Rhoc,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0043409,negative regulation of MAPK cascade,7,194,8,312,4.379679144385027,0.12781563444413896,Abca7;Dlg1;Dusp4;Per1;Rapgef1;Wnk2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0043523,regulation of neuron apoptotic process,7,194,8,312,4.379679144385027,0.12781563444413896,Casp7;Grina;Nr4a3;Ppp2r2b;Prnp;Stxbp1;Ubb,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,7,194,8,312,4.379679144385027,0.12781563444413896,Btbd10;Dlg1;Pik3r5;Pros1;Rapgef1;Sesn2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0070372,regulation of ERK1 and ERK2 cascade,7,194,8,312,4.379679144385027,0.12781563444413896,Abca7;Dlg1;Dusp4;Pde8b;Rapgef1;Wnk2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0160307,protein biosynthetic process,7,194,8,312,4.379679144385027,0.12781563444413896,Eef2;Eif3f;Eif4g1;Eif4g2;Gars1;Hspa5;Ogt,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:1903037,regulation of leukocyte cell-cell adhesion,7,194,8,312,4.379679144385027,0.12781563444413896,Dlg1;Glmn;Hsp90aa1;Nr4a3;Prnp;Slc7a1;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0000902,cell morphogenesis,18,194,24,312,1.9090909090909092,0.12832279716881845,Actg1;Adcy1;Camk2a;Cfap70;Dclk1;Dscaml1;Grip1;Map1b;Ncam1;Nptx1;Nr4a3;Prox1;Slitrk2;Stc1;Stxbp1;Ubb;Unc5a;Vldlr,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0051247,positive regulation of protein metabolic process,18,194,24,312,1.9090909090909092,0.12832279716881845,Dlg1;Dnajb2;Eef2;Ehd4;Eif4g1;Eif4g2;Hsp90aa1;Hspa5;Hspa8;Magi3;Ogt;Pik3r5;Sesn2;Sik2;Tnfsf12;Ubb;Vldlr;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0033365,protein localization to organelle,22,194,30,312,1.7587209302325582,0.12890931282578455,Abca7;Calr;Dlg1;Gak;Gckr;H2ac6;Hltf;Hsp90aa1;Hspa5;Hspa8;Ipo4;Nptx1;Nptxr;Ogt;Pacs1;Pom121;Ppp2r2b;Ranbp2;Rrs1;Tnks;Vps53;Zdhhc3,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0048585,negative regulation of response to stimulus,31,194,44,312,1.536101934874941,0.14574008137819444,Abca7;Calr;Cartpt;Ckmt1;Dkk3;Dlg1;Dusp4;Dyrk2;Grina;Hspa5;Hspa8;Mfn2;Nr4a3;Ogt;Pde8b;Per1;Pias2;Prnp;Rad54b;Ranbp2;Rapgef1;Rgs20;Rnf113a2;Sag;Sesn2;Strip2;Tpbgl;Vtn;Wnk2;Wwc2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0006351,DNA-templated transcription,9,194,11,312,2.8216216216216217,0.14603711737153832,Arid5b;Col4a2;Eloa;Hltf;Med16;Pias2;Snapc3;Taf4b;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0042327,positive regulation of phosphorylation,9,194,11,312,2.8216216216216217,0.14603711737153832,Dlg1;Ehd4;Glmn;Magi3;Ogt;Pik3r5;Sesn2;Vldlr;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0043434,response to peptide hormone,9,194,11,312,2.8216216216216217,0.14603711737153832,Camk2a;Cartpt;Hdac9;Map1b;Nr4a3;Ogt;Sesn2;Sik2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0045937,positive regulation of phosphate metabolic process,9,194,11,312,2.8216216216216217,0.14603711737153832,Dlg1;Ehd4;Glmn;Magi3;Ogt;Pik3r5;Sesn2;Vldlr;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0050778,positive regulation of immune response,9,194,11,312,2.8216216216216217,0.14603711737153832,Hsp90aa1;Hsp90b1;Hspa8;Irf7;Nr4a3;Ranbp2;Rapgef1;Xbp1;Zdhhc3,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0072594,establishment of protein localization to organelle,9,194,11,312,2.8216216216216217,0.14603711737153832,Gckr;Hsp90aa1;Hspa5;Hspa8;Ipo4;Pom121;Ranbp2;Srp9;Vps53,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0141124,intracellular signaling cassette,9,194,11,312,2.8216216216216217,0.14603711737153832,Adgrb2;Arhgap15;Hspa5;Pik3r5;Rab30;Rapgef1;Rhoc;Rnf123;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0043170,macromolecule metabolic process,70,194,105,312,1.3387096774193548,0.14897860232025462,Abca7;Acadm;Arid5b;Calr;Camk2a;Casp7;Cfap70;Col4a2;Cox14;Creld2;Dchs1;Dclk1;Ddx27;Ddx46;Dlg1;Dnajb2;Dusp4;Dyrk2;Eef2;Eif3f;Eif4g1;Eif4g2;Eloa;Gars1;Hdac9;Hltf;Hnrnpdl;Hsp90aa1;Hsp90b1;Hspa5;Hspa8;Klhdc3;Klhl36;Lsm14b;Mast2;Med16;Nktr;Nol6;Npepps;Ogt;P4ha1;Pak2;Pias2;Pigt;Prdm9;Prpf8;Rab11b;Rad54b;Ranbp2;Rbp3;Rcl1;Rnf113a2;Rnf123;Rnf150;Rnf181;Rnf4;Rrs1;Sesn2;Sik1;Sik2;Snapc3;Snrnp70;Stk17b;Taf4b;Tnks;Ubb;Wnk2;Xbp1;Zdhhc3;Zfc3h1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0009968,negative regulation of signal transduction,27,194,38,312,1.57267283614589,0.15249326459815582,Abca7;Calr;Ckmt1;Dkk3;Dlg1;Dusp4;Dyrk2;Grina;Hspa5;Hspa8;Mfn2;Ogt;Pde8b;Per1;Pias2;Prnp;Rad54b;Rapgef1;Rgs20;Rnf113a2;Sag;Sesn2;Strip2;Tpbgl;Wnk2;Wwc2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0007049,cell cycle,11,194,14,312,2.3041894353369763,0.15568543535679397,Camk2a;Dlg1;Fam110a;Hspa8;Lsm14b;Map4;Prdm9;Rad54b;Rhoc;Rrs1;Ubb,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0010564,regulation of cell cycle process,11,194,14,312,2.3041894353369763,0.15568543535679397,Calr;Cdk2ap2;Dlg1;Dpf3;Eif4g1;Mybbp1a;Ppp2r2b;Prdm9;Prox1;Rnf4;Tnks,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0022402,cell cycle process,11,194,14,312,2.3041894353369763,0.15568543535679397,Camk2a;Dlg1;Fam110a;Hspa8;Lsm14b;Map4;Prdm9;Rad54b;Rhoc;Rrs1;Ubb,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0042325,regulation of phosphorylation,11,194,14,312,2.3041894353369763,0.15568543535679397,Dlg1;Ehd4;Gckr;Glmn;Magi3;Ncam1;Ogt;Pik3r5;Sesn2;Vldlr;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0050776,regulation of immune response,11,194,14,312,2.3041894353369763,0.15568543535679397,Hsp90aa1;Hsp90b1;Hspa8;Irf7;Nr4a3;Ogt;Prnp;Ranbp2;Rapgef1;Xbp1;Zdhhc3,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0050803,regulation of synapse structure or activity,11,194,14,312,2.3041894353369763,0.15568543535679397,Adgrb2;Dclk1;Eif4g1;Hspa8;Map1b;Mfn2;Ogt;Prnp;Psd;Slitrk2;Vldlr,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0050807,regulation of synapse organization,11,194,14,312,2.3041894353369763,0.15568543535679397,Adgrb2;Dclk1;Eif4g1;Hspa8;Map1b;Mfn2;Ogt;Prnp;Psd;Slitrk2;Vldlr,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0009966,regulation of signal transduction,54,194,80,312,1.3648351648351649,0.15760025428030353,Abca7;Btbd10;Calr;Camk2a;Cartpt;Casp7;Ckmt1;Dkk3;Dlg1;Dusp4;Dyrk2;Grina;Grip1;Guca1a;Guca1b;Hpcal1;Hsp90b1;Hspa5;Hspa8;Irf7;Magi3;Mfn2;Ncam1;Ogt;Pak2;Pde8b;Per1;Pias2;Pik3r5;Prnp;Pros1;Prox1;Psd;Rad54b;Rapgef1;Rcvrn;Rgs20;Rnf113a2;Rrs1;Sag;Sesn2;Sik2;Slc7a1;Strip2;Sv2a;Tnfsf12;Tnks;Tpbgl;Ubb;Vtn;Wnk2;Wwc2;Xbp1;Zdhhc3,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0055085,transmembrane transport,23,194,32,312,1.6289798570500325,0.15829426462105162,Abca7;Aqp1;Atp5f1a;Clcn3;Clcn7;Grina;Hcn1;Hsp90aa1;Hspa5;Hspa8;Lrrc8b;Sesn2;Slc16a6;Slc1a7;Slc20a2;Slc25a19;Slc3a2;Slc6a11;Slc7a1;Slc7a8;Slco5a1;Sv2a;Trpc1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0045892,negative regulation of DNA-templated transcription,21,194,29,312,1.6690751445086704,0.16060171405374146,Arid5b;Bend3;Btaf1;Calr;Casp7;Dkk3;Dlg1;Hdac9;Hspa8;Mybbp1a;Nr4a3;Ogt;Pcbp3;Per1;Pias2;Prnp;Prox1;Ranbp2;Sik1;Wwc2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0051253,negative regulation of RNA metabolic process,21,194,29,312,1.6690751445086704,0.16060171405374146,Arid5b;Bend3;Btaf1;Calr;Casp7;Dkk3;Dlg1;Hdac9;Hspa8;Mybbp1a;Nr4a3;Ogt;Pcbp3;Per1;Pias2;Prnp;Prox1;Ranbp2;Sik1;Wwc2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:1902679,negative regulation of RNA biosynthetic process,21,194,29,312,1.6690751445086704,0.16060171405374146,Arid5b;Bend3;Btaf1;Calr;Casp7;Dkk3;Dlg1;Hdac9;Hspa8;Mybbp1a;Nr4a3;Ogt;Pcbp3;Per1;Pias2;Prnp;Prox1;Ranbp2;Sik1;Wwc2;Xbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0043254,regulation of protein-containing complex assembly,13,194,17,312,2.046961325966851,0.1606580999926027,Dlg1;Eif4g1;Fhod3;Gak;Hsp90aa1;Hspa5;Hspa8;Map1b;Ncam1;Ogt;Rhoc;Rnf4;Stxbp1,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0006915,apoptotic process,15,194,20,312,1.893854748603352,0.16281777175613577,Camk2a;Casp7;Dyrk2;Hsp90aa1;Mybbp1a;Nptx1;Ogt;Pak2;Pigt;Ppp2r2b;Sik1;Stk17b;Tnfsf12;Xbp1;Zdhhc3,0.935329572098782
Seven-day radiation-concordant genes vs OSD-255 panel,GO:0071705,nitrogen compound transport,15,194,20,312,1.893854748603352,0.16281777175613577,Aqp1;Cartpt;Dio2;Lrrc8b;Nol6;Pom121;Rab11b;Slc16a6;Slc1a7;Slc25a19;Slc3a2;Slc6a11;Slc7a1;Slc7a8;Xbp1,0.935329572098782
Nine radiation-compatible candidates vs OSD-255 panel,GO:0042221,response to chemical,6,7,82,312,18.07894736842105,0.0015805679560263986,Eef2;Pias2;Rad54b;Snrnp70;Stxbp1;Trpc1,0.16437906742674546
Nine radiation-compatible candidates vs OSD-255 panel,GO:0090304,nucleic acid metabolic process,4,7,40,312,9.962962962962964,0.006155529003261739,Gars1;Pias2;Rad54b;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0071495,cellular response to endogenous stimulus,3,7,22,312,11.289473684210526,0.008902953036888862,Eef2;Pias2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0033993,response to lipid,3,7,23,312,10.6875,0.010135274067757057,Eef2;Pias2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0006412,translation,2,7,8,312,19.933333333333334,0.011356578300500329,Eef2;Gars1,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0160307,protein biosynthetic process,2,7,8,312,19.933333333333334,0.011356578300500329,Eef2;Gars1,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0006139,nucleobase-containing compound metabolic process,4,7,49,312,7.703703703703703,0.013203562200595667,Gars1;Pias2;Rad54b;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009058,biosynthetic process,5,7,82,312,7.402597402597403,0.015046843310913235,Eef2;Gars1;Pias2;Snrnp70;Trpc1,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0050878,regulation of body fluid levels,2,7,10,312,14.85,0.017858628343186665,Stxbp1;Trpc1,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009719,response to endogenous stimulus,3,7,32,312,7.137931034482759,0.025890758320042548,Eef2;Pias2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0016070,RNA metabolic process,3,7,32,312,7.137931034482759,0.025890758320042548,Gars1;Pias2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0034976,response to endoplasmic reticulum stress,2,7,13,312,10.690909090909091,0.02995806609547539,Eef2;Pias2,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0070848,response to growth factor,2,7,13,312,10.690909090909091,0.02995806609547539,Eef2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0071363,cellular response to growth factor stimulus,2,7,13,312,10.690909090909091,0.02995806609547539,Eef2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010467,gene expression,4,7,63,312,5.559322033898305,0.03277270289321301,Eef2;Gars1;Pias2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0034654,nucleobase-containing compound biosynthetic process,3,7,35,312,6.3984375,0.03312069068649842,Gars1;Pias2;Snrnp70,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0008152,metabolic process,6,7,140,312,7.656716417910448,0.033606679561713045,Eef2;Gars1;Pias2;Rad54b;Snrnp70;Trpc1,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009410,response to xenobiotic stimulus,2,7,14,312,9.766666666666667,0.03457103724855398,Eef2;Rad54b,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0099536,synaptic signaling,2,7,14,312,9.766666666666667,0.03457103724855398,Stxbp1;Trpc1,0.18923094072892707
Nine radiation-compatible candidates vs OSD-255 panel,GO:0046903,secretion,2,7,15,312,8.984615384615385,0.03945549973433827,Stxbp1;Trpc1,0.20137212219389075
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009059,macromolecule biosynthetic process,4,7,67,312,5.121693121693122,0.040661678519920245,Eef2;Gars1;Pias2;Snrnp70,0.20137212219389075
Nine radiation-compatible candidates vs OSD-255 panel,GO:0043170,macromolecule metabolic process,5,7,105,312,5.125,0.04525240406580854,Eef2;Gars1;Pias2;Rad54b;Snrnp70,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:0071396,cellular response to lipid,2,7,17,312,7.733333333333333,0.04999630731549298,Pias2;Snrnp70,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010557,positive regulation of macromolecule biosynthetic process,3,7,41,312,5.269736842105263,0.05067166841362907,Eef2;Pias2;Snrnp70,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010648,negative regulation of cell communication,3,7,42,312,5.115384615384615,0.05399940983019296,Pias2;Rad54b;Stxbp1,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:0023057,negative regulation of signaling,3,7,42,312,5.115384615384615,0.05399940983019296,Pias2;Rad54b;Stxbp1,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:0034097,response to cytokine,2,7,18,312,7.225,0.0556319224415875,Snrnp70;Stxbp1,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:0071345,cellular response to cytokine stimulus,2,7,18,312,7.225,0.0556319224415875,Snrnp70;Stxbp1,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009891,positive regulation of biosynthetic process,3,7,43,312,4.96875,0.05744177345110516,Eef2;Pias2;Snrnp70,0.20599808410051507
Nine radiation-compatible candidates vs OSD-255 panel,GO:1901652,response to peptide,2,7,19,312,6.776470588235294,0.06149756267486958,Snrnp70;Stxbp1,0.21299015528431814
Nine radiation-compatible candidates vs OSD-255 panel,GO:0006950,response to stress,4,7,77,312,4.237442922374429,0.06542752604298098,Eef2;Pias2;Rad54b;Stxbp1,0.21299015528431814
Nine radiation-compatible candidates vs OSD-255 panel,GO:0050896,response to stimulus,6,7,159,312,5.96078431372549,0.06684464544960811,Eef2;Pias2;Rad54b;Snrnp70;Stxbp1;Trpc1,0.21299015528431814
Nine radiation-compatible candidates vs OSD-255 panel,GO:0007267,cell-cell signaling,2,7,20,312,6.377777777777778,0.06758341465752403,Stxbp1;Trpc1,0.21299015528431814
Nine radiation-compatible candidates vs OSD-255 panel,GO:0033554,cellular response to stress,3,7,47,312,4.448863636363637,0.07234825893457468,Eef2;Pias2;Rad54b,0.2134307647883095
Nine radiation-compatible candidates vs OSD-255 panel,GO:0050804,modulation of chemical synaptic transmission,2,7,21,312,6.021052631578947,0.07387988011903021,Stxbp1;Trpc1,0.2134307647883095
Nine radiation-compatible candidates vs OSD-255 panel,GO:0099177,regulation of trans-synaptic signaling,2,7,21,312,6.021052631578947,0.07387988011903021,Stxbp1;Trpc1,0.2134307647883095
Nine radiation-compatible candidates vs OSD-255 panel,GO:0022414,reproductive process,2,7,22,312,5.7,0.08037757282724432,Rad54b;Stxbp1,0.22010562920077534
Nine radiation-compatible candidates vs OSD-255 panel,GO:1901700,response to oxygen-containing compound,3,7,49,312,4.2228260869565215,0.08047464838851572,Eef2;Snrnp70;Trpc1,0.22010562920077534
Nine radiation-compatible candidates vs OSD-255 panel,GO:0044238,primary metabolic process,5,7,121,312,4.073275862068965,0.08253961095029075,Eef2;Gars1;Pias2;Rad54b;Snrnp70,0.22010562920077534
Nine radiation-compatible candidates vs OSD-255 panel,GO:0051716,cellular response to stimulus,5,7,126,312,3.8016528925619837,0.09749567633198215,Eef2;Pias2;Rad54b;Snrnp70;Trpc1,0.2534887584631536
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010628,positive regulation of gene expression,2,7,25,312,4.904347826086957,0.10098726940749941,Eef2;Snrnp70,0.25429429982771934
Nine radiation-compatible candidates vs OSD-255 panel,GO:0070887,cellular response to chemical stimulus,3,7,54,312,3.735294117647059,0.10269577493042513,Pias2;Snrnp70;Trpc1,0.25429429982771934
Nine radiation-compatible candidates vs OSD-255 panel,GO:0051254,positive regulation of RNA metabolic process,2,7,26,312,4.683333333333334,0.10820014433202207,Pias2;Snrnp70,0.25574579569387035
Nine radiation-compatible candidates vs OSD-255 panel,GO:1902532,negative regulation of intracellular signal transduction,2,7,26,312,4.683333333333334,0.10820014433202207,Pias2;Rad54b,0.25574579569387035
Nine radiation-compatible candidates vs OSD-255 panel,GO:0048522,positive regulation of cellular process,5,7,131,312,3.5515873015873014,0.11414440649644714,Eef2;Pias2;Snrnp70;Stxbp1;Trpc1,0.2638004061251223
Nine radiation-compatible candidates vs OSD-255 panel,GO:0032774,RNA biosynthetic process,2,7,28,312,4.292307692307692,0.12308983309229647,Pias2;Snrnp70,0.2712163113643817
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010646,regulation of cell communication,4,7,94,312,3.185185185185185,0.1251767590912531,Pias2;Rad54b;Stxbp1;Trpc1,0.2712163113643817
Nine radiation-compatible candidates vs OSD-255 panel,GO:0023051,regulation of signaling,4,7,94,312,3.185185185185185,0.1251767590912531,Pias2;Rad54b;Stxbp1;Trpc1,0.2712163113643817
Nine radiation-compatible candidates vs OSD-255 panel,GO:0048518,positive regulation of biological process,5,7,137,312,3.2765151515151514,0.13642435732477742,Eef2;Pias2;Snrnp70;Stxbp1;Trpc1,0.27708910233727596
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010604,positive regulation of macromolecule metabolic process,3,7,61,312,3.1939655172413794,0.1381335701931552,Eef2;Pias2;Snrnp70,0.27708910233727596
Nine radiation-compatible candidates vs OSD-255 panel,GO:0051050,positive regulation of transport,2,7,30,312,3.9571428571428573,0.13854455116863798,Stxbp1;Trpc1,0.27708910233727596
Nine radiation-compatible candidates vs OSD-255 panel,GO:0141187,nucleic acid biosynthetic process,2,7,30,312,3.9571428571428573,0.13854455116863798,Pias2;Snrnp70,0.27708910233727596
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009893,positive regulation of metabolic process,3,7,68,312,2.769230769230769,0.17813380195165138,Eef2;Pias2;Snrnp70,0.3430725074624397
Nine radiation-compatible candidates vs OSD-255 panel,GO:0019538,protein metabolic process,3,7,68,312,2.769230769230769,0.17813380195165138,Eef2;Gars1;Pias2,0.3430725074624397
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009968,negative regulation of signal transduction,2,7,38,312,2.988888888888889,0.20482442572751017,Pias2;Rad54b,0.3737147416782642
Nine radiation-compatible candidates vs OSD-255 panel,GO:0051246,regulation of protein metabolic process,2,7,38,312,2.988888888888889,0.20482442572751017,Eef2;Snrnp70,0.3737147416782642
Nine radiation-compatible candidates vs OSD-255 panel,GO:1901698,response to nitrogen compound,2,7,38,312,2.988888888888889,0.20482442572751017,Eef2;Trpc1,0.3737147416782642
Nine radiation-compatible candidates vs OSD-255 panel,GO:0048523,negative regulation of cellular process,4,7,113,312,2.397553516819572,0.21807603983481447,Pias2;Rad54b;Snrnp70;Stxbp1,0.39103289901415006
Nine radiation-compatible candidates vs OSD-255 panel,GO:1901701,cellular response to oxygen-containing compound,2,7,40,312,2.8105263157894735,0.2222370295436961,Snrnp70;Trpc1,0.39173984868719314
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010468,regulation of gene expression,3,7,76,312,2.3835616438356166,0.22860363414077878,Eef2;Pias2;Snrnp70,0.3962462991773499
Nine radiation-compatible candidates vs OSD-255 panel,GO:0010556,regulation of macromolecule biosynthetic process,3,7,79,312,2.2598684210526314,0.24862954683006255,Eef2;Pias2;Snrnp70,0.41069569414233
Nine radiation-compatible candidates vs OSD-255 panel,GO:0003008,system process,2,7,43,312,2.575609756097561,0.2487868147208345,Eef2;Trpc1,0.41069569414233
Nine radiation-compatible candidates vs OSD-255 panel,GO:0022008,neurogenesis,2,7,43,312,2.575609756097561,0.2487868147208345,Eef2;Stxbp1,0.41069569414233
Nine radiation-compatible candidates vs OSD-255 panel,GO:0048585,negative regulation of response to stimulus,2,7,44,312,2.5047619047619047,0.2577291214822452,Pias2;Rad54b,0.41236659437159234
Nine radiation-compatible candidates vs OSD-255 panel,GO:0051130,positive regulation of cellular component organization,2,7,44,312,2.5047619047619047,0.2577291214822452,Pias2;Stxbp1,0.41236659437159234
Nine radiation-compatible candidates vs OSD-255 panel,GO:0048519,negative regulation of biological process,4,7,121,312,2.1424501424501425,0.2645376576892135,Pias2;Rad54b;Snrnp70;Stxbp1,0.4168472181769425
Nine radiation-compatible candidates vs OSD-255 panel,GO:0032501,multicellular organismal process,4,7,123,312,2.0840336134453783,0.2767374940633564,Eef2;Rad54b;Stxbp1;Trpc1,0.4295626773520756
Nine radiation-compatible candidates vs OSD-255 panel,GO:0009889,regulation of biosynthetic process,3,7,85,312,2.0396341463414633,0.29013999414949054,Eef2;Pias2;Snrnp70,0.43807279042020236
