time,mechanism,reference_effect,n,spearman_rho,spearman_p,direction_concordant,direction_total,direction_fraction,direction_binomial_p,common_gene_universe_n,common_gene_universe_spearman_rho,common_gene_universe_spearman_p,panel_global_rank_rho,panel_enrichment_empirical_p,panel_enrichment_permutations,panel_rank_n,panel_rank_universe_n,spearman_fdr,direction_binomial_fdr,panel_enrichment_fdr
7 day,hlu,osd758_uG_vs_inflight_1G,362,-0.04115611665235944,0.4349959391262522,172,362,0.47513812154696133,0.841009715628045,28075,0.08225953012205099,2.349450718342055e-43,-0.05171371201476341,0.9876012398760124,10000,362,28075,0.4349959391262522,0.999548112074469,0.9962003799620037
7 day,radiation,osd758_1G_vs_ground,362,0.271662799899978,1.5216745999290019e-07,229,362,0.6325966850828729,2.566075809317779e-07,28075,0.1264886894754701,1.795894765681641e-100,0.28389326159239947,0.0040995900409959,10000,362,28075,4.5650237997870056e-07,1.5396454855906672e-06,0.0245975402459754
1 month,hlu,osd758_uG_vs_inflight_1G,362,-0.2957740707016882,9.643543882560532e-09,150,362,0.4143646408839779,0.999548112074469,28075,-0.14143692815597664,2.2074315324880952e-125,-0.30011024879749504,0.9962003799620038,10000,362,28075,5.786126329536319e-08,0.999548112074469,0.9962003799620037
1 month,radiation,osd758_1G_vs_ground,362,-0.06725770879559884,0.20171331724920516,191,362,0.5276243093922652,0.15899028437195495,28075,-0.02171736158947062,0.0002735495053168967,-0.08384416077310597,0.8486151384861513,10000,362,28075,0.24205598069904619,0.3179805687439099,0.9962003799620037
4 month,hlu,osd758_uG_vs_inflight_1G,362,0.19777452325441822,0.00015224501667666655,203,362,0.5607734806629834,0.011843245211673322,28075,0.08446795134223782,1.2568973059594238e-45,0.19384784865302848,0.034396560343965606,10000,362,28075,0.0003044900333533331,0.03552973563501997,0.10318968103189682
4 month,radiation,osd758_1G_vs_ground,362,-0.07850626231539788,0.1360089459681532,162,362,0.44751381215469616,0.9798816349810927,28075,-0.032688605453299,4.292114326461214e-08,-0.08418618525200977,0.8082191780821918,10000,362,28075,0.2040134189522298,0.999548112074469,0.9962003799620037
