gene_id,SYMBOL_osd255,GENENAME,rr9_log2fc,rr9_fdr,osd758_1G_vs_ground,osd203_7 day_radiation_log2fc,osd203_7 day_radiation_fdr
ENSMUSG00000025423,Pias2,protein inhibitor of activated STAT 2,0.202980649855591,0.0155409725905956,-0.15976784791302,-0.265447700983539,0.0028212268150543
ENSMUSG00000078773,Rad54b,RAD54 homolog B (S. cerevisiae),0.790052166639513,1.04682025111988e-08,-0.270611866778861,-0.877129823201857,0.0124005941651326
ENSMUSG00000029777,Gars1,glycyl-tRNA synthetase 1,-0.267295445433788,6.35213643794502e-06,-0.142735101611838,-0.260762464414608,0.0215156677881499
ENSMUSG00000030522,Mtmr10,myotubularin related protein 10,-0.530631579285639,0.0125859362473506,0.0705436616270333,0.483110628157187,0.0261554016658887
ENSMUSG00000063511,Snrnp70,small nuclear ribonucleoprotein 70 (U1),0.193669908771083,0.0257490006753671,0.191756979127477,0.344262779304053,0.0303402260823483
ENSMUSG00000113831,,,0.30582092929777,0.0049425251184482,-0.0886818051599313,-0.396839841013372,0.0303404973219049
ENSMUSG00000032839,Trpc1,"transient receptor potential cation channel, subfamily C, member 1",-0.318720246867597,0.0311378330349826,-0.180450603099061,-0.337903566397697,0.0349043489734763
ENSMUSG00000034994,Eef2,eukaryotic translation elongation factor 2,0.140262672283296,0.0032381708402834,-0.0855928311559153,-0.242517893027638,0.0445581676329888
ENSMUSG00000026797,Stxbp1,syntaxin binding protein 1,-0.359621360911215,8.66142641697539e-06,-0.0841501207752148,-0.245973182113579,0.0495355890654327
